Distance,Throttle,Speed
3098.886944444444,100.0,279.0
3130.664722222222,100.0,286.0
3150.064722222222,100.0,291.0
3182.8424999999997,100.0,295.0
3196.086944444444,100.0,298.0
3216.2202777777775,100.0,302.0
3233.193611111111,100.0,304.0
3246.664444444444,100.0,305.0
3263.7755555555555,100.0,308.0
3298.442222222222,100.0,312.0
3319.354722222222,100.0,315.0
3347.7097222222224,100.0,318.0
3365.4538888888887,100.0,321.0
3390.576111111111,100.0,323.0
3430.5111111111105,100.0,326.0
3456.022222222222,100.0,328.0
3478.022222222222,100.0,330.0
3511.3222222222216,100.0,333.0
3544.729166666666,100.0,335.0
3567.155555555555,100.0,335.0
3597.017499999999,100.0,337.0
3612.1336111111104,100.0,338.0
3646.0336111111105,100.0,339.0
3661.1002777777776,100.0,339.0
3679.9891666666663,100.0,340.0
3698.933611111111,100.0,341.0
3717.878055555556,100.0,341.0
3733.033611111111,100.0,341.0
3759.5558333333333,100.0,341.0
3778.5950000000003,100.0,341.0
3812.500555555556,20.0,340.0
3830.032222222222,0.0,314.0
3850.8766666666666,0.0,268.0
3871.498888888889,0.0,232.0
3887.7544444444443,1.0,209.0
3898.975833333333,9.0,203.0
3918.475833333333,60.0,195.0
3936.1094444444443,100.0,199.0
3957.1094444444443,100.0,210.0
3969.2205555555556,100.0,218.0
3979.148888888889,100.0,222.0
4012.5155555555552,100.0,231.0
4025.5611111111107,100.0,236.0
4036.2049999999995,100.0,238.0
4049.7049999999995,100.0,243.0
4066.171666666666,100.0,247.0
4080.2272222222214,100.0,253.0
4097.293888888888,100.0,256.0
4123.293888888888,100.0,260.0
4134.938333333333,100.0,262.0
4152.605,100.0,265.0
4176.605,100.0,270.0
4197.993888888888,100.0,275.0
4216.527222222222,100.0,278.0
4241.860555555555,100.0,285.0
4264.260555555555,100.0,288.0
4280.371666666666,100.0,290.0
4303.238333333333,100.0,294.0
4326.338333333333,100.0,297.0
4349.749444444445,100.0,301.0
4369.949444444444,100.0,303.0
4400.564166666667,100.0,307.0
4428.119722222223,100.0,310.0
4448.78638888889,100.0,310.0
4469.719722222222,100.0,314.0
4487.307222222222,100.0,315.0
4529.8405555555555,100.0,319.0
4565.5072222222225,100.0,321.0
4601.39611111111,100.0,323.0
4637.396111111111,100.0,324.0
4651.8405555555555,100.0,325.0
4673.573888888888,100.0,326.0
4688.062777777778,100.0,326.0
4706.229444444444,100.0,327.0
4731.740555555555,100.0,328.0
4753.673888888889,100.0,329.0
4786.573888888889,100.0,329.0
4808.573888888888,100.0,330.0
4823.376944444444,100.0,331.0
